Model,Data File,Training Score,Testing Score,R2 Score,Mean Square Error,Mean Absolute Error,Cross Val Score,Score Deviation
Linear Regression,X_scaled_selected_train.csv,0.8702126104527838,0.8793528781159242,0.8793528781159242,0.022514383881269962,0.11118013287023258,0.867614486826654,0.03768279056546489
Ridge Regression,X_scaled_selected_train.csv,0.8702126102958474,0.8793523827852481,0.8793523827852481,0.02251447631667013,0.11117996077718008,0.8676146152513047,0.0376823850297329
Lasso Regression,X_scaled_selected_train.csv,0.8699343190360549,0.8773089181537043,0.8773089181537043,0.022895814440977668,0.11137049676386891,0.8673889325996843,0.03590412100348932
Elastic Regression,X_scaled_selected_train.csv,0.8699602244789183,0.8774556341291027,0.8774556341291027,0.022868435256625404,0.11133139921587705,0.8674241591955429,0.03604425515902289
Decision Tree,X_scaled_selected_train.csv,1.0,0.7596662068924894,0.7596662068924894,0.044849534685654203,0.15394282197964881,0.7435036161443209,0.04579393095826738
Random Forest,X_scaled_selected_train.csv,0.979757320211287,0.8794052590484459,0.8794052590484459,0.02250460889116299,0.10373146461160461,0.8640685579943824,0.031046592025816243
Linear Regression,X_Scaled_train.csv,0.8955728918733569,0.8995339892110896,0.8995339892110896,0.01874831573764953,0.09792723004573903,0.8801035556703223,0.058853371222831935
Ridge Regression,X_Scaled_train.csv,0.9064746914742028,0.9016128483038173,0.9016128483038173,0.018360372528414003,0.09368374238929186,0.879993911480948,0.059457733742601535
Lasso Regression,X_Scaled_train.csv,0.8973630646845172,0.8941141602646352,0.8941141602646352,0.019759729085649172,0.09757044233137976,0.8804346425742067,0.05884220198120513
Elastic Regression,X_Scaled_train.csv,0.8979060892453297,0.8944296560237592,0.8944296560237592,0.019700853312046736,0.09726052215222745,0.8804837766657616,0.0599184055437074
Decision Tree,X_Scaled_train.csv,1.0,0.818168740393342,0.818168740393342,0.03393217108264477,0.13568361370815055,0.7372390286590745,0.06799040188948349
Random Forest,X_Scaled_train.csv,0.9820802287848418,0.885988681790265,0.885988681790265,0.021276053211198926,0.09648091046374077,0.8737641382441501,0.019375918380746718
Linear Regression,X_selected_train.csv,0.8904130148385605,0.897775696808699,0.897775696808699,0.01907643686896819,0.09557448843290989,0.8781366360436769,0.070448662889768
Ridge Regression,X_selected_train.csv,0.8904130148317944,0.8977757283343131,0.8977757283343131,0.019076430985862418,0.0955745295648062,0.8781366113891653,0.07044914361457308
Lasso Regression,X_selected_train.csv,0.8902935433438369,0.8980605581538006,0.8980605581538006,0.019023277891145933,0.09527811663864079,0.8776389482969652,0.07484865546242074
Elastic Regression,X_selected_train.csv,0.8903094583095729,0.8980494413803358,0.8980494413803358,0.019025352431353764,0.09531782014165714,0.8776936617287031,0.07445623762877074
Decision Tree,X_selected_train.csv,1.0,0.733548957384254,0.733548957384254,0.04972336650334411,0.15558459710395917,0.7053459837350118,0.051340913293664046
Random Forest,X_selected_train.csv,0.980056702105174,0.8784591660652689,0.8784591660652689,0.02268116263134331,0.10171280065073121,0.8631180467505933,0.02484857086183755
Linear Regression,X_train.csv,0.9064753953515691,0.9016311666480057,0.9016311666480057,0.01835695407775651,0.0936686432818447,0.8801056239112471,0.05889753343586713
Ridge Regression,X_train.csv,0.906475275624167,0.9016259704352785,0.9016259704352785,0.018357923761295105,0.09367461305315743,0.8800562047023985,0.05914262124548413
Lasso Regression,X_train.csv,0.900122782642508,0.8981988632452059,0.8981988632452059,0.018997468291447193,0.0951211157827525,0.8769763753991786,0.0767265803561752
Elastic Regression,X_train.csv,0.9002722409237978,0.8981710657742171,0.8981710657742171,0.019002655675306814,0.09520980233957266,0.8770241993767979,0.07638243629331923
Decision Tree,X_train.csv,1.0,0.8187176997568547,0.8187176997568547,0.033829727844444546,0.13536913530399738,0.7362780380545907,0.06837846561856457
Random Forest,X_train.csv,0.9820749148870186,0.8860525326372274,0.8860525326372274,0.02126413778000417,0.09653655501392068,0.8736452269477774,0.01963895812885157
